info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
10,2,For Rent $1600,https://corvallis.craigslist.org/apa/5978112460.html,"$1,600 ",5978112460,,,,,27-Jan,
110,1,1 bd w/private entrance HALF OFF 1ST MONTH,https://corvallis.craigslist.org/apa/5948809894.html,$650 ,5948809894,,,,,27-Jan,
130,1,Large room near campus $550,https://corvallis.craigslist.org/apa/6018383254.html,$550 ,6018383254,,,,,24-Feb,
200,1,Studio in Albany Across from Swanson Park ~ 697 Jefferson #1,https://corvallis.craigslist.org/apa/6001862614.html,$625 ,6001862614,,,,,15-Feb,
200,1,Studio in Albany Across from Swanson Park ~ 697 Jefferson #5,https://corvallis.craigslist.org/apa/5992109429.html,$625 ,5992109429,,,,,15-Feb,
200,1,Studio in Albany Across from Swanson Park ~ 697 Jefferson #1,https://corvallis.craigslist.org/apa/6001863432.html,$625 ,6001863432,,,,,13-Feb,
200,1,"price included everything, fully furnished, summer sublet, 4brs/2bath",https://corvallis.craigslist.org/apa/6000012129.html,$370 ,6000012129,,,,,11-Feb,
200,1,Studio Retreat in Albany ~ 417 SE 6th #1,https://corvallis.craigslist.org/apa/5944079613.html,$625 ,5944079613,,,,,1-Feb,
300,,Studio~ Shared bathroom~ avail. Now!,https://corvallis.craigslist.org/apa/6033709821.html,$500 ,6033709821,,,,,7-Mar,
350,1,"1 bd, 1 ba - Close to downtown Corvallis and OSU!",https://corvallis.craigslist.org/apa/6035308857.html,$750 ,6035308857,,,,,8-Mar,
350,,Large Studio Apartment Near Downtown,https://corvallis.craigslist.org/apa/5959505508.html,$600 ,5959505508,,,,,3-Feb,
360,,ADD YOUR NAME TO OUR WAIT LIST!,https://corvallis.craigslist.org/apa/6037234836.html,$560 ,6037234836,,,,,9-Mar,
360,,WE HAVE EVERYTHING BUT YOU!,https://corvallis.craigslist.org/apa/6037173121.html,$560 ,6037173121,,,,,9-Mar,
360,,THE WAIT LIST IS OPEN!!,https://corvallis.craigslist.org/apa/6035785724.html,$560 ,6035785724,,,,,8-Mar,
360,,IT WON'T LAST LONG! HURRY IN!,https://corvallis.craigslist.org/apa/6035711227.html,$560 ,6035711227,,,,,8-Mar,
360,,CALL AND SET UP YOUR TOUR TODAY!!!,https://corvallis.craigslist.org/apa/6035520313.html,$560 ,6035520313,,,,,8-Mar,
360,,FURRY FRIENDS WELCOME TOO!,https://corvallis.craigslist.org/apa/6035331063.html,$560 ,6035331063,,,,,8-Mar,
360,,LOOK NO FURTHER! WE HAVE EVERYTHING YOU NEED!,https://corvallis.craigslist.org/apa/6035242073.html,$560 ,6035242073,,,,,8-Mar,
360,,GET ON OUR WAIT LIST TODAY!,https://corvallis.craigslist.org/apa/6034089247.html,$560 ,6034089247,,,,,7-Mar,
360,,GET ON THE WAITLIST!!,https://corvallis.craigslist.org/apa/6032856267.html,$560 ,6032856267,,,,,6-Mar,
360,,FALL IN LOVE WITH ALBANY COURT!,https://corvallis.craigslist.org/apa/6028734200.html,$560 ,6028734200,,,,,3-Mar,
360,,CALL ALBANY COURT TODAY!,https://corvallis.craigslist.org/apa/6027102000.html,$560 ,6027102000,,,,,2-Mar,
360,,WE'RE PET FRIENDLY!,https://corvallis.craigslist.org/apa/6025765990.html,$560 ,6025765990,,,,,1-Mar,
360,,COZY UP AT ALBANY COURT!,https://corvallis.craigslist.org/apa/6002358512.html,$560 ,6002358512,,,,,28-Feb,
360,,WE'VE GOT EVERYTHING ON YOUR LIST!!,https://corvallis.craigslist.org/apa/6022888361.html,$560 ,6022888361,,,,,27-Feb,
360,,HURRY AND APPLY BEFORE IT GETS AWAY!,https://corvallis.craigslist.org/apa/5985462366.html,$560 ,5985462366,,,,,24-Feb,
